-;title;name;notes;owner_org;theme;keyword;maintainer;maintainer_email;access_rights;access_rights_comment;documentation;url;language;spatial_text;license_id;is_part_of;has_part;identifier;author;author_email;subject;conforms_to;frequency;alternate_identifier;issued;temporal_start;temporal_end;version;version_notes;creator;provenance;relation;modified
;Artsmangfold;artsmangfold;Truede arter, fremmede arter, artsrike vegkanter.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;miljø;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/517-Artsrik%20vegkant/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/artsmangfold;;;;;;;;;;;;;;;
;Bomstasjoner;bomstasjoner;Navn, posisjon (lengde- og breddegrad), takst liten og stor bil, vegnummer, autopass og/eller andre betalingsløsninger på bomstasjoner og kommunenummer på bomstasjoner.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;Jan Kristian Jensen;jan.kristian.jensen@vegvesen.no;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/45-Bomstasjon/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/bomstasjoner;;;;;;;;;;;;;;;
;Bruksklasser;bruksklasser;Dataene om bruksklasse, vekt- og lengde-begrensninger for ulike typer kjøretøy på for en strekning angitt ved vegrefereranse, vegnummer og strekningsbeskrivelse.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/871-Bruksklasse/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/bruksklasser;;;;;;;;;;;;;;;
;Nasjonal vegdatabank;nasjonal-vegdatabank;Informasjon om riks- og fylkesveger, kommunale veger, private veger og skogsbilveger.  Det over 250 fagdatatyper knyttet til vegen, som for eksempel ulykker, trafikkmengde, skilt, belysningspunkt, rasteplasser og skred.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;Jan Kristian Jensen;jan.kristian.jensen@vegvesen.no;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/;http://vegdata.no;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/bruer;http://vegvesen.no/datasett/id_ikke_permanent/nasjonal-vegdatabank;;;;;;;;;;;;;;;
;Rasteplasser;rasteplasser;Rasteplasser, og døgnhvileplasser for vogntog i langtransport. Tilgjengelige fasiliteter.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/39-Rasteplass/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/rasteplasser;;;;;;;;;;;;;;;
;Skredhendelser;skredhendelser;Skredhendelser og stengninger på grunn av skred eller skredfare. Sted, type skred, størrelse, stengning, vær, skader.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/445-Skred/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/skredhendelser;;;;;;;;;;;;;;;
;Trafikkskilt;trafikkskilt;Oversikt over offentlige trafikkskilt sammen med bestemmelser for hvert enkelt skilt.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;trafikk;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/96-Skiltplate/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/trafikkskilt;;;;;;;;;;;;;;;
;Trafikkstasjoner;trafikkstasjoner;Trafikkstasjoner med plassering, åpningstider, kontaktinformasjon.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;trafikant;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/638-Trafikkstasjon/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/trafikkstasjoner;;;;;;;;;;;;;;;
;Trafikkulykker;trafikkulykker;Data på ulykkesnivå, enhetsnivå (kjøretøy) og trafikantnivå. Ulykkestype, vær, føre, ulykkessted, område, kjønn, alder, type kjøretøy med mer.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;trafikk, statistikk;Beate Øien;beate.oien@vegvesen.no;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/570-Trafikkulykke/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/trafikkulykker;;;;;;;;;;;;;;;
;Tunneler;tunneler;Teknisk informasjon om tunneler.;statens-vegvesen;http://publications.europa.eu/resource/authority/data-theme/TRAN;veg;;;http://publications.europa.eu/resource/authority/access-right/PUBLIC;;http://labs.vegdata.no/nvdb-datakatalog/581-Tunnel/;;http://publications.europa.eu/resource/authority/language/NOR;Norge;NLOD-1.0;http://ckan-prod-874300540.eu-west-1.elb.amazonaws.com/dataset/nasjonal-vegdatabank;;http://vegvesen.no/datasett/id_ikke_permanent/tunneler;;;;;;;;;;;;;;;
