-;package_id;name;url;format;description
;elveg-vbase;Åpne data hos Kartverket;http://data.kartverket.no/download/content/geodataprodukter?korttype=3605&aktualitet=All&datastruktur=All&dataskema=All;ukjent;
;artsmangfold;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/517?inkluder=%22alle%22;XML;
;artsmangfold;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/517.json?inkluder=%22alle%22;JSON;
;bomstasjoner;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/45?inkluder=%22alle%22;XML;
;bomstasjoner;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/45.json?inkluder=%22alle%22;JSON;
;bruksklasser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/871?inkluder=%22alle%22;XML;
;bruksklasser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/871.json?inkluder=%22alle%22;JSON;
;nasjonal-vegdatabank;Åpne data via NVDB api;http://data.norge.no/data/nasjonal-vegdatabank-api;XML;
;nasjonal-vegdatabank;Åpne data via NVDB api;http://data.norge.no/data/nasjonal-vegdatabank-api;JSON;
;rasteplasser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/39?inkluder=%22alle%22;XML;
;rasteplasser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/39.json?inkluder=%22alle%22;JSON;
;skredhendelser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/445?inkluder=%22alle%22;XML;
;skredhendelser;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/445.json?inkluder=%22alle%22;JSON;
;trafikkskilt;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/96?inkluder=%22alle%22;XML;
;trafikkskilt;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/96.json?inkluder=%22alle%22;JSON;
;trafikkstasjoner;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/638?inkluder=%22alle%22;XML;
