-;package_id_ikke_brukt;name;title;url;notes
;artsmangfold;artsdatabanken-demo;Artsdatabanken;http://artsdatabanken.no/;
;norsk-vegmuseum;norsk-vegmuseum-demo;Samleside på Digitalt museum;http://digitaltmuseum.no/info/owners/NVM;
;luftkvalitet;luftkvalitet-demo;Luftkvalitet på kart;http://luftkvalitet.info/;
;statistikk-sentralbyra;statistikk-sentralbyra-demo;SSB samleside om transport og reiseliv;http://ssb.no/transport-og-reiseliv;
;test;test-demo;Test-showcase;http://vegvesen.no;Dette er en beskrivelse av et test-showcase
;trafikkinformasjon;trafikkinformasjon-demo;Trafikkstasjoner på kart;http://vegvesen.no/trafikk;
;trafikkinformasjon;reisetider-demo;Reisetider i kart;http://www.reisetider.no/reisetid/forside.html;
;trafikkskoler;trafikkskoler-demo;Søk etter trafikkskoler;http://www.vegvesen.no/Forerkort/ta-forerkort/Finn%20godkjent%20trafikkskole#/#/;
;godkjente-verksteder;finngodkjentverksted-demo;Finn godkjent verksted;http://www.vegvesen.no/kjoretoy/Eie%20og%20vedlikeholde/finn-godkjent-verksted;
;kjoretoyopplysninger;enkeltkjoretoy-demo;Enkeltoppslag - Kjøretøyopplysninger;http://www.vegvesen.no/Kjoretoy/Eie+og+vedlikeholde/Kj%C3%B8ret%C3%B8yopplysninger;
;kjoretoyopplysninger;enkelttilhenger-demo;Enkeltoppslag - Tilhengerkalkulator;http://www.vegvesen.no/Kjoretoy/Eie+og+vedlikeholde/Tilhengerkalkulator;
;kjoretoyopplysninger;smskjoretoy-demo;SMS-tjeneste for eierinformasjon;http://www.vegvesen.no/kjoretoy/Kjop+og+salg/Kj%C3%B8ret%C3%B8yopplysninger/SMS+tjeneste/kj%C3%B8ret%C3%B8yopplysninger-via-sms;
;nybilvelger;nybilvelger-demo;Nybilvelger-søk;http://www.vegvesen.no/Kjoretoy/Kjop+og+salg/Nybilvelger;
;transportloyver;transportloyver-vegkart;Oppslag i transportørregisteret;http://www.vegvesen.no/Kjoretoy/Yrkestransport/Tillatelser/Oppslag+i+transport%C3%B8rregister;
;trafikkstasjoner;trafikkstasjoner-demo;Søk etter trafikkstasjoner;http://www.vegvesen.no/Om+Statens+vegvesen/Kontakt+oss/Kontaktskjema/Trafikkstasjoner;
;kjoretoyopplysninger;kjoretoy-app;Mobilapp for kjøretøyopplysninger;http://www.vegvesen.no/om+statens+vegvesen/om+organisasjonen/Om+vegvesen.no/Mobilapp/app-for-mobil-og-nettbrett;
;vegmeldinger;trafikkmeldinger-mobil;Trafikkmeldinger i nettside for mobil;http://www.vegvesen.no/trafikk/mobil/;
;vegmeldinger;trafikkmeldinger-demo;Trafikkmeldinger i kart;http://www.vegvesen.no/Trafikkinformasjon/Reiseinformasjon/Trafikkmeldinger;
;trafikkinformasjon;webkamera-demo;Webkamera fra veger;http://www.vegvesen.no/Trafikkinformasjon/Reiseinformasjon/Trafikkmeldinger/Webkamera;
;nasjonal-vegdatabank;vegkart;Vegkart;https://www.vegvesen.no/vegkart/vegkart/;I vegkartet kan du få vist både vegstrekninger og enkeltinstallasjoner langs vegen.
;rasteplasser;rasteplasser-vegkart;Rasteplasser i vegkart;https://www.vegvesen.no/vegkart/vegkart/#kartlag:geodata/hva:(~(id:39,filter:(~),farge:'0_0))/@600000,7225000,3;I vegkartet kan du få vist både vegstrekninger og enkeltinstallasjoner langs vegen.
;skredhendelser;skred-vegkart;Skred i vegkart;https://www.vegvesen.no/vegkart/vegkart/#kartlag:geodata/hva:(~(id:445,filter:(~),farge:'1_1))/@600000,7225000,3;I vegkartet kan du få vist både vegstrekninger og enkeltinstallasjoner langs vegen.
;bomstasjoner;bomstasjoner-vegkart;Bomstasjoner i vegkart;https://www.vegvesen.no/vegkart/vegkart/#kartlag:geodata/hva:(~(id:45,filter:(~),farge:'1_1))/@600000,7225000,3;I vegkartet kan du få vist både vegstrekninger og enkeltinstallasjoner langs vegen.
